Обычный;Грубый
Отстань от меня;Да пошёл ты
Зачем ты меня сюда позвал;Нахрена мы сюда припёрлись
У меня сломался карандаш;А, черт, карандаш сломался
Телевизор, похоже, сломался;Блин, телик походу сдох
Ты где?;Где ты, блин, пропадаешь?
Вернись на землю;Твоё место у параши
Посмотрите на его лицо;Вот это у него рожа
Будь потише;Чё ты базаришь здесь?
Мне лень;Не буду я этой фигнёй заниматься
На улице осень;На пейзаже серость гребаная
Позвони мне, нужно поговорить;Слышь, чувак, набери мне, перетереть надо
Тебе нужно сбросить вес;Ты похож на бегемотиху
Ну, на месте и узнаем;Там, короче, все и порешаем
Что на завтра задали?;Эй, козлы, говорите что мне нужно делать
